Entity,Code,Year,Twenty-year average day of the year with peak cherry blossom,Day of the year with peak cherry blossom
Japan,JPN,853,101,104
Japan,JPN,864,100.833336,100
Japan,JPN,866,101.57143,106
Japan,JPN,869,100.75,95
Japan,JPN,889,101.111115,104
Japan,JPN,891,101.9,109
Japan,JPN,892,102.454544,108
Japan,JPN,894,102.75,106
Japan,JPN,895,102.84615,104
Japan,JPN,896,102.92857,104
Japan,JPN,902,102.86667,102
Japan,JPN,908,102.5625,98
Japan,JPN,912,102.117645,95
Japan,JPN,913,102.55556,110
Japan,JPN,917,102.1579,95
Japan,JPN,923,102.25,104
Japan,JPN,926,102.55,98
Japan,JPN,930,102.15,97
Japan,JPN,933,102.65,106
Japan,JPN,941,102.7,109
Japan,JPN,949,102.85,107
Japan,JPN,950,102.6,95
Japan,JPN,955,101.75,89
Japan,JPN,957,102.6,112
Japan,JPN,958,102.85,109
Japan,JPN,959,102.25,97
Japan,JPN,960,101.9,101
Japan,JPN,961,100.95,87
Japan,JPN,963,100.45,94
Japan,JPN,965,100.45,104
Japan,JPN,966,100.25,98
Japan,JPN,967,100.5,103
Japan,JPN,969,100.65,98
Japan,JPN,972,100.5,107
Japan,JPN,974,101.15,108
Japan,JPN,975,101,101
Japan,JPN,977,101.7,112
Japan,JPN,979,102.05,104
Japan,JPN,985,101.45,94
Japan,JPN,989,101,100
Japan,JPN,991,100.85,104
Japan,JPN,1000,101.35,105
Japan,JPN,1004,102.75,117
Japan,JPN,1006,102.15,100
Japan,JPN,1007,102,106
Japan,JPN,1014,102.9,115
Japan,JPN,1016,103.4,111
Japan,JPN,1017,104,99
Japan,JPN,1018,104.95,113
Japan,JPN,1019,104.65,98
Japan,JPN,1029,105.55,116
Japan,JPN,1031,105.25,97
Japan,JPN,1032,105.9,111
Japan,JPN,1033,105.65,102
Japan,JPN,1034,105.05,96
Japan,JPN,1036,105.2,104
Japan,JPN,1041,104.75,103
Japan,JPN,1046,104.7,103
Japan,JPN,1048,105.6,112
Japan,JPN,1050,105.85,105
Japan,JPN,1060,106.05,108
Japan,JPN,1061,105.4,92
Japan,JPN,1066,104.8,105
Japan,JPN,1071,105.45,113
Japan,JPN,1073,105.3,103
Japan,JPN,1080,104.65,102
Japan,JPN,1083,103.9,96
Japan,JPN,1084,104.95,120
Japan,JPN,1088,104.5,104
Japan,JPN,1090,104.85,105
Japan,JPN,1093,104.3,105
Japan,JPN,1095,104.45,100
Japan,JPN,1096,103.7,96
Japan,JPN,1098,103.6,100
Japan,JPN,1099,103.95,103
Japan,JPN,1102,103.95,104
Japan,JPN,1104,104.2,108
Japan,JPN,1105,104.75,114
Japan,JPN,1107,104.4,105
Japan,JPN,1111,104.8,113
Japan,JPN,1112,104.6,104
Japan,JPN,1114,105,100
Japan,JPN,1117,105.2,109
Japan,JPN,1118,104.65,102
Japan,JPN,1120,104.7,104
Japan,JPN,1123,105.2,112
Japan,JPN,1124,105.3,98
Japan,JPN,1125,104.85,111
Japan,JPN,1126,105.05,108
Japan,JPN,1127,105.15,107
Japan,JPN,1128,105.45,111
Japan,JPN,1129,105.75,106
Japan,JPN,1130,106.1,103
Japan,JPN,1131,106.25,103
Japan,JPN,1134,106.4,106
Japan,JPN,1139,106.85,113
Japan,JPN,1140,106.6,103
Japan,JPN,1141,106.45,111
Japan,JPN,1143,106.7,110
Japan,JPN,1145,106.4,107
Japan,JPN,1151,106.65,109
Japan,JPN,1154,106.45,96
Japan,JPN,1156,105.5,90
Japan,JPN,1159,105.55,103
Japan,JPN,1161,105.95,112
Japan,JPN,1163,105.95,112
