Identifier;DimensionGroupId;DimensionId;Index;Title;Description
A048109;1;Broedvogels;1;Soortgroeptrend broedvogels;Meetkundig middelen betekent dat een halvering van de populatiegrootte van een soort wordt gecompenseerd door de verdubbeling van die van een andere soort. Van een aantal soorten zijn in de eerste jaren geen indexcijfers beschikbaar. Deze ontbrekende indexcijfers zijn eerst met een kettingmethode afgeleid uit de indexcijfers van andere soorten.
A006765;2;Broedvogels;2;Aalscholver;Wetenschappelijke naam: Phalacrocorax carbo sinensis
A006766;2;Broedvogels;3;Appelvink;Wetenschappelijke naam: Coccothraustes coccothraustes cocothraustes
A006767;3;Broedvogels;4;Baardman;Wetenschappelijke naam: Panurus biarmicus biarmicus
A006769;3;Broedvogels;5;Bergeend;Wetenschappelijke naam: Tadorna tadorna
A006770;3;Broedvogels;6;Blauwborst;Wetenschappelijke naam: Luscinia svecica svecica
A006771;3;Broedvogels;7;Blauwe Kiekendief;Wetenschappelijke naam: Circus cyaneus
A006772;3;Broedvogels;8;Blauwe Reiger;Wetenschappelijke naam: Ardea cinerea cinerea
A006773;3;Broedvogels;9;Boerenzwaluw;Wetenschappelijke naam: Hirundo rustica rustica
A006774;3;Broedvogels;10;Bontbekplevier;Wetenschappelijke naam: Charadrius hiaticula hiaticula
A006776;3;Broedvogels;11;Bonte Vliegenvanger;Wetenschappelijke naam: Ficedula hypoleuca hypoleuca
A006777;3;Broedvogels;12;Boomklever;Wetenschappelijke naam: Sitta europaea caesia
A006778;3;Broedvogels;13;Boomkruiper;Wetenschappelijke naam: Certhia brachydactyla megarhyncha
A006779;3;Broedvogels;14;Boomleeuwerik;Wetenschappelijke naam: Lullula arborea arborea
A006780;3;Broedvogels;15;Boompieper;Wetenschappelijke naam: Anthus trivialis trivialis
A006781;3;Broedvogels;16;Boomvalk;Wetenschappelijke naam: Falco subbuteo subbuteo
A006782;3;Broedvogels;17;Bosrietzanger;Wetenschappelijke naam: Acrocephalus palustris
A006783;3;Broedvogels;18;Bosuil;Wetenschappelijke naam: Strix aluco aluco
A006784;3;Broedvogels;19;Braamsluiper;Wetenschappelijke naam: Sylvia curruca curruca
A006785;3;Broedvogels;20;Brandgans;Wetenschappelijke naam: Branta leucopsis
A006786;3;Broedvogels;21;Brilduiker;Wetenschappelijke naam: Bucephala clangula clangula
A006787;3;Broedvogels;22;Bruine Kiekendief;Wetenschappelijke naam: Circus aeruginosus aeroginosus
A048095;3;Broedvogels;23;Buidelmees;Wetenschappelijke naam: Remiz pendulinus pendulinus
A006788;3;Broedvogels;24;Buizerd;Wetenschappelijke naam: Buteo Buteo buteo
A052493;;Broedvogels;25;Bijeneter;Wetenschappelijke naam: Merops apiaster.
A048096;4;Broedvogels;26;Cetti's Zanger;Wetenschappelijke naam: Cettia cetti cetti
A006789;5;Broedvogels;27;Dodaars;Wetenschappelijke naam: Tachybaptus ruficollis ruficollis
A006790;5;Broedvogels;28;Draaihals;Wetenschappelijke naam: Jynx torquilla torquilla
A006792;5;Broedvogels;29;Duinpieper;Wetenschappelijke naam: Anthus campestris campestris
A006794;5;Broedvogels;30;Dwergstern;Wetenschappelijke naam: Sternula albifrons albifrons
A006795;6;Broedvogels;31;Eider;Wetenschappelijke naam: Somateria mollissima mollisima
A006796;6;Broedvogels;32;Ekster;Wetenschappelijke naam: Pica pica pica
A050225;6;Broedvogels;33;Europese Kanarie;Wetenschappelijke naam: Serinus serinus
A006797;7;Broedvogels;34;Fazant;Wetenschappelijke naam: Phasianus colchicus
A006798;7;Broedvogels;35;Fitis;Wetenschappelijke naam: Phylloscopus trochilus trochilus
A006799;7;Broedvogels;36;Fluiter;Wetenschappelijke naam: Phylloscopus sibilatrix
A006800;7;Broedvogels;37;Fuut;Wetenschappelijke naam: Podiceps cristatus cristatus
A006801;8;Broedvogels;38;Gaai;Wetenschappelijke naam: Garrulus glandarius glandarius
A006802;8;Broedvogels;39;Geelgors;Wetenschappelijke naam: Emberiza citrinella citrinella
A006803;8;Broedvogels;40;Gekraagde Roodstaart;Wetenschappelijke naam: Phoenicurus phoenicurus phoenicurus
A006804;8;Broedvogels;41;Gele Kwikstaart;Wetenschappelijke naam: Motacilla flavissima
A006805;8;Broedvogels;42;Geoorde Fuut;Wetenschappelijke naam: Podiceps nigricollis nigricollis
A048097;8;Broedvogels;43;Gierzwaluw;Wetenschappelijke naam: Apus apus apus
A006806;8;Broedvogels;44;Glanskop;Wetenschappelijke naam: Parus palustris ssp. palustris
A006807;8;Broedvogels;45;Goudhaan;Wetenschappelijke naam: Regulus regulus regulus
A006810;8;Broedvogels;46;Grasmus;Wetenschappelijke naam: Sylvia communis communis
A006811;8;Broedvogels;47;Graspieper;Wetenschappelijke naam: Anthus pratensis pratensis
A050226;8;Broedvogels;48;Graszanger;Wetenschappelijke naam: Cisticola juncidis
A006812;8;Broedvogels;49;Grauwe Gans;Wetenschappelijke naam: Anser anser anser
A006813;8;Broedvogels;50;Grauwe Gors;Wetenschappelijke naam: Milaria calandra calandra
A006814;8;Broedvogels;51;Grauwe Kiekendief;Wetenschappelijke naam: Circus pygargus
A006815;8;Broedvogels;52;Grauwe Klauwier;Wetenschappelijke naam: Lanius collurio
