Id;Measure;Broedvogels;Perioden;Value;StringValue;ValueAttribute
0;M006964;A048109;1990JJ00;100;;None
1;M006964;A048109;1991JJ00;101;;None
2;M006964;A048109;1992JJ00;103;;None
3;M006964;A048109;1993JJ00;104;;None
4;M006964;A048109;1994JJ00;105;;None
5;M006964;A048109;1995JJ00;106;;None
6;M006964;A048109;1996JJ00;107;;None
7;M006964;A048109;1997JJ00;108;;None
8;M006964;A048109;1998JJ00;109;;None
9;M006964;A048109;1999JJ00;110;;None
10;M006964;A048109;2000JJ00;111;;None
11;M006964;A048109;2001JJ00;112;;None
12;M006964;A048109;2002JJ00;112;;None
13;M006964;A048109;2003JJ00;112;;None
14;M006964;A048109;2004JJ00;112;;None
15;M006964;A048109;2005JJ00;111;;None
16;M006964;A048109;2006JJ00;111;;None
17;M006964;A048109;2007JJ00;111;;None
18;M006964;A048109;2008JJ00;111;;None
19;M006964;A048109;2009JJ00;111;;None
20;M006964;A048109;2010JJ00;111;;None
21;M006964;A048109;2011JJ00;111;;None
22;M006964;A048109;2012JJ00;111;;None
23;M006964;A048109;2013JJ00;112;;None
24;M006964;A048109;2014JJ00;113;;None
25;M006964;A048109;2015JJ00;114;;None
26;M006964;A048109;2016JJ00;115;;None
27;M006964;A048109;2017JJ00;117;;None
28;M006964;A048109;2018JJ00;118;;None
29;M006964;A048109;2019JJ00;120;;None
30;M006964;A048109;2020JJ00;121;;None
31;M006964;A048109;2021JJ00;123;;None
32;M006964;A048109;2022JJ00;126;;None
33;M006964;A048109;2023JJ00;128;;None
34;M006964;A006765;1990JJ00;100;;None
35;M006964;A006765;1991JJ00;104;;None
36;M006964;A006765;1992JJ00;113;;None
37;M006964;A006765;1993JJ00;110;;None
38;M006964;A006765;1994JJ00;80;;None
39;M006964;A006765;1995JJ00;90;;None
40;M006964;A006765;1996JJ00;100;;None
41;M006964;A006765;1997JJ00;94;;None
42;M006964;A006765;1998JJ00;107;;None
43;M006964;A006765;1999JJ00;100;;None
44;M006964;A006765;2000JJ00;107;;None
45;M006964;A006765;2001JJ00;108;;None
46;M006964;A006765;2002JJ00;123;;None
47;M006964;A006765;2003JJ00;123;;None
48;M006964;A006765;2004JJ00;109;;None
49;M006964;A006765;2005JJ00;119;;None
50;M006964;A006765;2006JJ00;127;;None
51;M006964;A006765;2007JJ00;114;;None
52;M006964;A006765;2008JJ00;115;;None
53;M006964;A006765;2009JJ00;126;;None
54;M006964;A006765;2010JJ00;133;;None
55;M006964;A006765;2011JJ00;112;;None
56;M006964;A006765;2012JJ00;129;;None
57;M006964;A006765;2013JJ00;109;;None
58;M006964;A006765;2014JJ00;115;;None
59;M006964;A006765;2015JJ00;102;;None
60;M006964;A006765;2016JJ00;118;;None
61;M006964;A006765;2017JJ00;118;;None
62;M006964;A006765;2018JJ00;112;;None
63;M006964;A006765;2019JJ00;109;;None
64;M006964;A006765;2020JJ00;88;;None
65;M006964;A006765;2021JJ00;90;;None
66;M006964;A006765;2022JJ00;80;;None
67;M006964;A006765;2023JJ00;99;;None
68;M006964;A006766;1990JJ00;100;;None
69;M006964;A006766;1991JJ00;100;;None
70;M006964;A006766;1992JJ00;107;;None
71;M006964;A006766;1993JJ00;97;;None
72;M006964;A006766;1994JJ00;101;;None
73;M006964;A006766;1995JJ00;125;;None
74;M006964;A006766;1996JJ00;134;;None
75;M006964;A006766;1997JJ00;147;;None
76;M006964;A006766;1998JJ00;100;;None
77;M006964;A006766;1999JJ00;84;;None
78;M006964;A006766;2000JJ00;89;;None
79;M006964;A006766;2001JJ00;84;;None
80;M006964;A006766;2002JJ00;81;;None
81;M006964;A006766;2003JJ00;89;;None
82;M006964;A006766;2004JJ00;77;;None
83;M006964;A006766;2005JJ00;88;;None
84;M006964;A006766;2006JJ00;87;;None
85;M006964;A006766;2007JJ00;107;;None
86;M006964;A006766;2008JJ00;108;;None
87;M006964;A006766;2009JJ00;102;;None
88;M006964;A006766;2010JJ00;103;;None
89;M006964;A006766;2011JJ00;122;;None
90;M006964;A006766;2012JJ00;138;;None
91;M006964;A006766;2013JJ00;147;;None
92;M006964;A006766;2014JJ00;143;;None
93;M006964;A006766;2015JJ00;158;;None
94;M006964;A006766;2016JJ00;175;;None
95;M006964;A006766;2017JJ00;190;;None
96;M006964;A006766;2018JJ00;214;;None
97;M006964;A006766;2019JJ00;199;;None
98;M006964;A006766;2020JJ00;228;;None
99;M006964;A006766;2021JJ00;236;;None
100;M006964;A006766;2022JJ00;240;;None
101;M006964;A006766;2023JJ00;235;;None
102;M006964;A006767;1990JJ00;100;;None
103;M006964;A006767;1991JJ00;111;;None
104;M006964;A006767;1992JJ00;189;;None
105;M006964;A006767;1993JJ00;200;;None
106;M006964;A006767;1994JJ00;159;;None
107;M006964;A006767;1995JJ00;170;;None
108;M006964;A006767;1996JJ00;100;;None
109;M006964;A006767;1997JJ00;115;;None
110;M006964;A006767;1998JJ00;98;;None
111;M006964;A006767;1999JJ00;81;;None
112;M006964;A006767;2000JJ00;127;;None
113;M006964;A006767;2001JJ00;96;;None
114;M006964;A006767;2002JJ00;107;;None
115;M006964;A006767;2003JJ00;101;;None
116;M006964;A006767;2004JJ00;111;;None
117;M006964;A006767;2005JJ00;77;;None
118;M006964;A006767;2006JJ00;96;;None
119;M006964;A006767;2007JJ00;114;;None
120;M006964;A006767;2008JJ00;107;;None
121;M006964;A006767;2009JJ00;108;;None
122;M006964;A006767;2010JJ00;106;;None
123;M006964;A006767;2011JJ00;69;;None
124;M006964;A006767;2012JJ00;67;;None
125;M006964;A006767;2013JJ00;90;;None
126;M006964;A006767;2014JJ00;118;;None
127;M006964;A006767;2015JJ00;111;;None
128;M006964;A006767;2016JJ00;89;;None
129;M006964;A006767;2017JJ00;127;;None
130;M006964;A006767;2018JJ00;93;;None
131;M006964;A006767;2019JJ00;113;;None
