Annual global-average temperature (degrees C) relative to 1850-1900 reference level
Datasets normalised so that all have the same 1991-2020 average
 
Year,ERA5,JRA-3Q,Berkeley Earth,GISTEMP,HadCRUT5,NOAAGlobalTemp
 1850,   -999.000,   -999.000,     -0.084,   -999.000,     -0.084,      0.055,
 1851,   -999.000,   -999.000,      0.014,   -999.000,      0.107,      0.161,
 1852,   -999.000,   -999.000,      0.052,   -999.000,      0.104,      0.200,
 1853,   -999.000,   -999.000,      0.035,   -999.000,      0.071,      0.147,
 1854,   -999.000,   -999.000,      0.016,   -999.000,      0.052,      0.187,
 1855,   -999.000,   -999.000,      0.024,   -999.000,      0.046,      0.172,
 1856,   -999.000,   -999.000,     -0.105,   -999.000,      0.017,      0.103,
 1857,   -999.000,   -999.000,     -0.231,   -999.000,     -0.132,      0.059,
 1858,   -999.000,   -999.000,     -0.053,   -999.000,     -0.054,      0.070,
 1859,   -999.000,   -999.000,      0.054,   -999.000,      0.055,      0.201,
 1860,   -999.000,   -999.000,     -0.091,   -999.000,     -0.052,      0.022,
 1861,   -999.000,   -999.000,     -0.164,   -999.000,     -0.089,     -0.031,
 1862,   -999.000,   -999.000,     -0.251,   -999.000,     -0.204,     -0.097,
 1863,   -999.000,   -999.000,     -0.056,   -999.000,     -0.010,      0.044,
 1864,   -999.000,   -999.000,     -0.078,   -999.000,     -0.133,      0.047,
 1865,   -999.000,   -999.000,      0.005,   -999.000,      0.002,      0.166,
 1866,   -999.000,   -999.000,      0.048,   -999.000,     -0.014,      0.144,
 1867,   -999.000,   -999.000,      0.082,   -999.000,     -0.029,      0.056,
 1868,   -999.000,   -999.000,      0.068,   -999.000,     -0.011,      0.106,
 1869,   -999.000,   -999.000,      0.050,   -999.000,      0.023,      0.177,
 1870,   -999.000,   -999.000,     -0.001,   -999.000,      0.009,      0.077,
 1871,   -999.000,   -999.000,     -0.028,   -999.000,     -0.028,      0.084,
 1872,   -999.000,   -999.000,      0.010,   -999.000,      0.007,      0.049,
 1873,   -999.000,   -999.000,      0.028,   -999.000,     -0.007,      0.048,
 1874,   -999.000,   -999.000,     -0.038,   -999.000,     -0.036,      0.016,
 1875,   -999.000,   -999.000,     -0.044,   -999.000,     -0.048,      0.029,
 1876,   -999.000,   -999.000,     -0.066,   -999.000,     -0.086,      0.006,
 1877,   -999.000,   -999.000,      0.315,   -999.000,      0.234,      0.366,
 1878,   -999.000,   -999.000,      0.380,   -999.000,      0.332,      0.370,
 1879,   -999.000,   -999.000,      0.064,   -999.000,      0.031,      0.111,
 1880,   -999.000,   -999.000,     -0.006,      0.098,      0.019,      0.074,
 1881,   -999.000,   -999.000,      0.106,      0.182,      0.101,      0.155,
 1882,   -999.000,   -999.000,      0.043,      0.161,      0.034,      0.093,
 1883,   -999.000,   -999.000,     -0.004,      0.097,     -0.014,      0.062,
 1884,   -999.000,   -999.000,     -0.175,     -0.014,     -0.163,     -0.046,
 1885,   -999.000,   -999.000,     -0.139,     -0.062,     -0.137,     -0.036,
 1886,   -999.000,   -999.000,     -0.171,     -0.045,     -0.086,     -0.032,
 1887,   -999.000,   -999.000,     -0.201,     -0.095,     -0.162,     -0.088,
 1888,   -999.000,   -999.000,      0.003,      0.098,     -0.043,      0.147,
 1889,   -999.000,   -999.000,      0.122,      0.161,      0.086,      0.203,
 1890,   -999.000,   -999.000,     -0.164,     -0.084,     -0.171,     -0.083,
 1891,   -999.000,   -999.000,     -0.042,      0.049,     -0.063,      0.030,
 1892,   -999.000,   -999.000,     -0.109,     -0.005,     -0.178,     -0.010,
 1893,   -999.000,   -999.000,     -0.083,     -0.042,     -0.160,     -0.079,
 1894,   -999.000,   -999.000,     -0.080,     -0.036,     -0.146,     -0.075,
